,coefficients,p-values
const,-0.001195506050122929,0.9875274824871083
Finance_Secure,0.13264200918859734,0.14170914417682348
Environment,-0.04221190680009218,0.6564011664332651
Employment,-0.24373572676154745,0.014942793540498787
Healthy,-0.0037087334287572715,0.9646741752721726
Safety,0.14323895514974053,0.13541903607400174
Decent_Home,0.10863601147766438,0.1942903306698845
Connections,-0.07909179494479289,0.3775197923104251
