,coefficients,p-values
const,0.0028648239697060263,0.9843489556073857
Finance_Secure_2018,0.11473126681280268,0.5397968540276855
Environment_2018,-0.2071698526725549,0.37332524968080305
Employment_2018,-0.008225368849594076,0.9686921376889492
Healthy_2018,-0.1883984657372611,0.3322584480800581
Safety_2018,0.009374430037538323,0.9650999331862921
Decent_Home_2018,0.35234948893093315,0.04123633137831542
Connections_2018,-0.544743650994504,0.03453519806638326
