,coefficients,p-values
const,-0.0027177768908338285,0.9812109121535787
Finance_Secure_2022,0.5194680904038784,0.0006218990786545659
Environment_2022,-0.16176165046040647,0.2628525367451416
Employment_2022,-0.32671603266726246,0.020749866215393754
Healthy_2022,-0.2698772375870325,0.03385685846388948
Safety_2022,0.03336555251461793,0.8179933101237769
Decent_Home_2022,0.3161055592704807,0.01568563314371551
Connections_2022,-0.419300584959294,0.0017431699129530718
