,coefficients,p-values
const,-0.005016817024811354,0.9773036743315204
Finance_Secure_2020,-0.42040829784747036,0.09411709207049106
Environment_2020,0.2696848586054929,0.24034310227912853
Employment_2020,0.3204065315556764,0.3034018061891881
Healthy_2020,-0.12244605632431185,0.5880978874295012
Safety_2020,0.22454762876870854,0.328231171627699
Decent_Home_2020,0.19846618758404752,0.32128785700118206
Connections_2020,0.15247728468053373,0.4798236917282319
