,PriceDiff_2018,PriceDiff_2019,PriceDiff_2020,PriceDiff_2021,PriceDiff_2022,CSScode
City of London,-8.283333333333331,1.6166666666666742,4.075000000000017,-2.1666666666666714,9.499999999999986,E09000001
Barking & Dagenham,3.4000000000000057,1.4250000000000114,1.7333333333332916,6.53333333333336,12.300000000000011,E09000002
Barnet,-1.0916666666666828,-2.7583333333333258,1.1416666666666515,5.408333333333331,7.908333333333331,E09000003
Bexley,2.65833333333336,-2.166666666666657,2.32499999999996,8.783333333333331,10.900000000000006,E09000004
Brent,0.6750000000000114,-3.7416666666666885,2.625,6.575000000000017,6.299999999999983,E09000005
Bromley,0.575000000000017,-1.841666666666697,-0.4749999999999659,8.366666666666646,8.625000000000014,E09000006
Camden,0.46666666666666856,0.008333333333311543,-1.7166666666666544,0.8166666666666629,2.88333333333334,E09000007
Croydon,-0.7583333333333258,-1.6166666666666458,3.19999999999996,6.983333333333377,8.041666666666657,E09000008
Ealing,-1.1000000000000085,-1.8083333333333371,1.7083333333333428,6.458333333333329,4.6166666666666885,E09000009
Enfield,0.21666666666666856,-1.24166666666666,1.0416666666666714,8.86666666666666,7.26666666666668,E09000010
Greenwich,-1.0750000000000028,1.566666666666677,0.6583333333333314,3.125,6.341666666666683,E09000011
Hackney,-0.9416666666666913,2.191666666666663,5.825000000000017,2.5,7.191666666666649,E09000012
Hammersmith & Fulham,-4.28333333333336,-0.8999999999999773,1.2833333333333314,4.958333333333314,0.6749999999999972,E09000013
Haringey,-1.25833333333334,-1.2166666666666686,2.96666666666664,3.3750000000000426,4.1916666666666345,E09000014
Harrow,-1.2500000000000142,-4.23333333333332,1.0250000000000057,8.333333333333343,8.108333333333306,E09000015
Havering,3.5333333333333314,-2.0416666666666288,2.0666666666666345,7.366666666666674,10.383333333333326,E09000016
Hillingdon,-1.0083333333333258,-1.7500000000000142,1.6333333333333684,6.49166666666666,6.966666666666669,E09000017
Hounslow,-1.299999999999983,1.3333333333333428,2.7666666666666515,4.275000000000006,4.658333333333346,E09000018
Islington,-0.06666666666666288,-2.6000000000000227,4.700000000000003,4.466666666666669,3.683333333333337,E09000019
Kensington & Chelsea,1.4583333333333144,-9.316666666666634,6.458333333333314,-0.3333333333333428,9.791666666666671,E09000020
Kingston upon Thames,1.11666666666666,-2.2749999999999915,0.6833333333333371,5.366666666666632,6.841666666666683,E09000021
Lambeth,-1.60833333333332,-0.7666666666666799,4.558333333333337,1.200000000000017,2.98333333333332,E09000022
Lewisham,0.1833333333333087,-0.7833333333333172,4.066666666666663,4.458333333333343,4.349999999999994,E09000023
Merton,-0.03333333333333144,-1.5583333333333371,4.324999999999989,6.083333333333329,4.066666666666691,E09000024
Newham,-1.099999999999966,1.7749999999999773,2.6916666666666913,5.866666666666646,6.958333333333343,E09000025
Redbridge,3.799999999999983,-3.2833333333333172,3.47499999999998,9.475000000000023,6.1416666666666515,E09000026
Richmond upon Thames,-2.125,-0.5333333333333599,5.308333333333337,5.116666666666646,6.575000000000017,E09000027
Southwark,-2.625,-1.0916666666666544,2.5833333333333144,0.8666666666667027,6.0833333333333,E09000028
Sutton,0.7833333333333314,-2.366666666666646,1.9999999999999716,7.808333333333351,9.425000000000011,E09000029
Tower Hamlets,-3.075000000000003,-2.066666666666663,6.416666666666686,-2.3583333333333343,3.5749999999999744,E09000030
Waltham Forest,1.3750000000000284,-2.924999999999997,5.641666666666666,8.150000000000006,6.908333333333331,E09000031
Wandsworth,-3.8416666666666686,-1.4750000000000085,4.175000000000011,-0.03333333333331723,4.041666666666657,E09000032
Westminster,-4.60833333333332,-6.525000000000006,0.44999999999998863,0.24166666666667425,5.508333333333354,E09000033
LONDON,-0.5961666666666474,-1.6083333333333343,3.0520000000000067,4.8404166666666555,6.608416666666685,E12000007
