,Finance_Secure_2018,Environment_2018,Employment_2018,Healthy_2018,Safety_2018,Decent_Home_2018,Connections_2018,PriceDiff_2018
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
mean,3.9065972678997696e-15,6.938893903907228e-17,-3.677613769070831e-16,1.2906342661267445e-15,-1.7680301667155618e-14,-1.3877787807814457e-16,1.3877787807814457e-17,0.0028648239697060263
std,1.016001016001524,1.016001016001524,1.016001016001524,1.016001016001524,1.0160010160015238,1.016001016001524,1.016001016001524,1.0316184150050811
min,-1.994027056264242,-1.4126858179830073,-2.0478472701346577,-1.6074694655471666,-3.301918400213552,-2.302293408229037,-1.987888191857724,-2.0592256243498213
25%,-0.6128478091910834,-0.7922516091478012,-0.6579564026103146,-0.7410064184246058,-0.3971379519157144,-0.5956895705388052,-0.6908263929150955,-0.4215066728882749
50%,-0.10399229711149971,-0.0204919835235205,0.15804404219429924,-0.004512828370427949,-0.0340403958785104,0.2226818604003697,0.38065944099403215,-0.21615326724649944
75%,0.6633295068180355,0.5721992322336886,0.6960663134940457,0.5875702538299857,0.692154716195949,0.5919470182631685,0.9445993535777836,0.5449824899829889
max,1.818350748522489,2.4309797684594883,1.8259130832235104,2.580435262211877,1.4183498282704086,1.8993452798855095,1.3957512836447847,2.064189028238329
