,feature_2018,VIF_2018,feature_2019,VIF_2019,feature_2020,VIF_2020,feature_2021,VIF_2021,feature_2022,VIF_2022
0,const,1.0,const,1.0,const,1.0,const,1.0,const,1.0
1,Finance_Secure_2018,1.6288352878621317,Finance_Secure_2019,1.4105479159479435,Finance_Secure_2020,1.9100507774064466,Finance_Secure_2021,1.5274131180495278,Finance_Secure_2022,1.3366192097619294
2,Environment_2018,2.496728295165869,Environment_2019,2.6687880219531372,Environment_2020,1.6475122942956122,Environment_2021,1.5080081626411987,Environment_2022,1.5260390992618174
3,Employment_2018,2.059286560328014,Employment_2019,2.2897894520958824,Employment_2020,3.0475084049091095,Employment_2021,1.6486032953173038,Employment_2022,1.3354285428302715
4,Healthy_2018,1.7353206315828265,Healthy_2019,1.76239966936068,Healthy_2020,1.6335681117323901,Healthy_2021,1.2758648784545241,Healthy_2022,1.10263653463169
5,Safety_2018,2.1522489465704786,Safety_2019,1.501046238139668,Safety_2020,1.6622313775530762,Safety_2021,1.6407066277199183,Safety_2022,1.5767543937252708
6,Decent_Home_2018,1.2774984417714415,Decent_Home_2019,2.3061620406569805,Decent_Home_2020,1.2610273077047134,Decent_Home_2021,1.213356498633793,Decent_Home_2022,1.1328565726092037
7,Connections_2018,2.828592587914096,Connections_2019,2.568226520115777,Connections_2020,1.4817507572233601,Connections_2021,1.4097726079944994,Connections_2022,1.0864704802937435
