,Finance_Secure_2020,Environment_2020,Employment_2020,Healthy_2020,Safety_2020,Decent_Home_2020,Connections_2020,PriceDiff_2020
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
mean,-1.5785983631388945e-15,6.626643678231403e-16,2.1441182163073336e-15,8.396061623727746e-16,-1.7194579093882112e-14,-4.371503159461554e-16,-1.734723475976807e-17,-0.005016817024813894
std,1.016001016001524,1.0160010160015238,1.016001016001524,1.016001016001524,1.016001016001524,1.016001016001524,1.016001016001524,1.0313383430557777
min,-2.620557835108453,-1.2991088117777392,-2.304341075577864,-2.805120133087009,-4.019248581626559,-2.577436195712442,-3.613706922066113,-2.286897418256165
25%,-0.7687074988123377,-0.6290609198320187,-0.5708582098145852,-0.3269370784483672,-0.4955237977347812,-0.5004192642485114,-0.5759147634115871,-0.7653763754155604
50%,0.09717474034318119,-0.16430429690796577,-0.1957771219008941,0.019616224706904745,0.2092211590435342,0.3179785878361384,0.234163145562953,-0.0693045560977553
75%,0.697604030268544,0.4373131720305324,0.8534361915874046,0.7323390557243479,0.561593637432742,0.504112395349976,0.6898319693611318,0.7561446674250591
max,1.4750019530140104,3.262919388703762,1.8925121783753336,1.458139369879727,1.6187110726002654,1.8661391455702765,1.0442410545374932,1.9087797230695875
