,Finance_Secure_2019,Environment_2019,Employment_2019,Healthy_2019,Safety_2019,Decent_Home_2019,Connections_2019,PriceDiff_2019
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
mean,2.0539125955565396e-15,2.1510571102112408e-16,-2.1163626406917047e-15,1.609823385706477e-15,4.254235852485522e-14,1.4710455076283324e-15,4.5102810375396984e-17,-0.0013260013314101426
std,1.016001016001524,1.016001016001524,1.016001016001524,1.016001016001524,1.0160010160015243,1.016001016001524,1.016001016001524,1.031724882946427
min,-1.9622251698443915,-1.4499828184911927,-1.8840512325137948,-1.502219619214446,-3.7322829884311,-2.094936539970502,-2.035919370300259,-3.420771434724924
25%,-0.7931581406769324,-0.8257376443022078,-0.7341776091245604,-0.822498088887673,-0.5068532453424457,-0.6861676203381637,-0.5773502691896258,-0.3244803258038941
50%,0.1605544357491518,-0.1349063181997306,-0.042344931151784046,-0.2128509431306742,-0.0460775677583672,0.081368549668421,0.2734817064582438,0.00873600877164405
75%,0.5758808803218005,0.5476017389135597,0.845109400592605,0.8522797023298292,0.6911635163761898,0.622206272837618,0.8812188319210078,0.4149604166530646
max,2.006449744960927,2.977996283756009,1.6275960156790534,1.9174103477903344,1.4284046005107467,1.90791032132966,1.6105033824763246,1.7496977568348613
