,Finance_Secure_2022,Environment_2022,Employment_2022,Healthy_2022,Safety_2022,Decent_Home_2022,Connections_2022,PriceDiff_2022
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
mean,-2.525757381022231e-15,3.7470027081099033e-16,-6.938893903907228e-18,8.326672684688674e-16,3.0253577421035516e-15,1.1518563880486e-15,-6.938893903907228e-18,-0.002717776890833884
std,1.0160010160015243,1.016001016001524,1.016001016001524,1.016001016001524,1.0160010160015238,1.016001016001524,1.016001016001524,1.031631968249475
min,-2.725096752472507,-1.564809559811821,-2.5147634329387296,-1.5288612512270319,-4.1079582057332775,-2.4286783585805836,-3.1286338095985458,-2.285493228135146
25%,-0.616866981976578,-0.7665950739805549,-0.7178306613697697,-0.9423839267037477,-0.39073124321882635,-0.5626433174674206,-0.3965873843153086,-0.8318807982956851
50%,0.16978591746220084,-0.06956270607156263,0.09895696207066765,-0.18563899183498972,-0.05280151935389805,0.12205171053792559,0.044065264923923174,0.026958408102313813
75%,0.9039952902717284,0.7342730085331628,0.6832742619165205,0.958937722154007,0.6230579283760066,0.6572710634153448,0.749109503706694,0.6200656001055714
max,1.4494079672159477,3.201992440081936,1.6320045014511828,1.4981184882479897,1.6368470999708395,1.5444815222391746,1.8066758618808503,2.3627344844747236
