,Finance_Secure_2021,Environment_2021,Employment_2021,Healthy_2021,Safety_2021,Decent_Home_2021,Connections_2021,PriceDiff_2021
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
mean,9.71445146547012e-17,-2.7755575615628914e-16,1.3877787807814457e-16,1.4016565685892601e-15,-4.6629367034256575e-15,-5.412337245047638e-16,-2.7755575615628914e-17,0.00021824081374680754
std,1.016001016001524,1.016001016001524,1.0160010160015238,1.016001016001524,1.016001016001524,1.016001016001524,1.0160010160015243,1.03175312287951
min,-2.5410239590161314,-1.4286933223249452,-1.8557921986410109,-2.391729913784936,-2.997584216491849,-2.2065358149710352,-2.8103687166917783,-2.3826979932105776
25%,-0.6464300909127425,-0.7209732535665774,-0.9187229819888194,-0.5963953769592262,-0.5077874902254125,-0.3082522405159313,-0.7664641954613941,-0.6246666705575118
50%,0.2661770962581869,-0.1669901285834354,0.0635061969116695,0.1414133368047674,-0.376745557264029,0.20946146160818754,0.0510976130307596,0.17356342940345548
75%,0.6877909429628865,0.514223570558515,0.8086455740085927,0.7869959613482578,0.8026318393885162,0.6221318038810366,0.5620737433383556,0.7318432236914234
max,1.4296178377977369,3.236427730164672,1.6215248944779643,1.4940626453720824,1.719925370118257,1.795115988886891,1.27744032576899,1.5225104200351922
